answer_f1,mrr,num_records,policy_name,recall@1,recall@10,recall@5,retriever,reward,rewrite_rate,subset
0.8465168384027866,0.7292772486772487,1500,original_only,0.6653333333333333,0.8533333333333334,0.816,dense,1.6371370435400177,0.0,test
0.8458638499797386,0.7179677248677249,1500,rl_selected,0.6486666666666666,0.8513333333333334,0.806,dense,1.5710624540903986,0.7626666666666667,test
0.8465168384027866,0.7292772486772487,1500,score_gated_rl,0.6653333333333333,0.8533333333333334,0.816,dense,1.6371370435400177,0.0,test
0.8613695654422362,0.7971949735449736,1500,always_llm,0.756,0.8686666666666667,0.8473333333333334,hybrid,1.5341756028269382,1.0,test
0.887365829675869,0.8197386243386243,1500,oracle_gated_rl,0.7726666666666666,0.9053333333333333,0.8806666666666667,hybrid,1.7492200047850244,0.09933333333333333,test
0.8825243522289299,0.8183656084656085,1500,original_only,0.7726666666666666,0.9006666666666666,0.878,hybrid,1.7470183136806026,0.0,test
0.8813866235639275,0.8109084656084655,1500,rl_selected,0.7666666666666667,0.8946666666666667,0.8606666666666667,hybrid,1.6332419890306409,0.5973333333333334,test
0.8831662284496635,0.817866402116402,1500,score_gated_rl,0.7713333333333333,0.902,0.876,hybrid,1.7461829819496995,0.03933333333333333,test
0.8553964473538626,0.7493328798185941,3500,always_llm,0.692,0.8571428571428571,0.8237142857142857,bm25,1.4986218064433712,1.0,train
0.8608036022124379,0.7535128117913832,3500,oracle_gated_rl,0.6968571428571428,0.8637142857142858,0.8257142857142857,bm25,1.6455296355733393,0.14514285714285713,train
0.8557372088607583,0.7512753968253968,3500,original_only,0.696,0.8548571428571429,0.8225714285714286,bm25,1.6544891599859348,0.0,train
0.8553964473538626,0.7493328798185941,3500,rl_selected,0.692,0.8571428571428571,0.8237142857142857,bm25,1.4986218064433712,1.0,train
0.8565819879004176,0.7509670068027211,3500,score_gated_rl,0.6954285714285714,0.8554285714285714,0.8225714285714286,bm25,1.6551002116372835,0.0054285714285714284,train
0.7977129205808527,0.6453532879818594,3500,always_llm,0.5782857142857143,0.7728571428571429,0.7334285714285714,dense,1.3335045328527846,1.0,train
0.8437106459302985,0.6987396825396825,3500,oracle_gated_rl,0.6325714285714286,0.8317142857142857,0.7822857142857143,dense,1.5890651642349904,0.18057142857142858,train
0.8369975994651109,0.6962861678004535,3500,original_only,0.6322857142857143,0.8194285714285714,0.7788571428571428,dense,1.5821961693470679,0.0,train
0.8329848315295165,0.685918253968254,3500,rl_selected,0.6185714285714285,0.8145714285714286,0.7697142857142857,dense,1.5128058284631711,0.7528571428571429,train
0.8369975994651109,0.6962861678004535,3500,score_gated_rl,0.6322857142857143,0.8194285714285714,0.7788571428571428,dense,1.5821961693470679,0.0,train
0.8492303542749138,0.7649205215419501,3500,always_llm,0.72,0.84,0.8222857142857143,hybrid,1.4861897236227175,1.0,train
0.8756155968486431,0.7905012471655328,3500,oracle_gated_rl,0.7428571428571429,0.8725714285714286,0.8505714285714285,hybrid,1.6935405988778363,0.1357142857142857,train
0.8707151469110608,0.7858445578231293,3500,original_only,0.7394285714285714,0.8642857142857143,0.8445714285714285,hybrid,1.6886912809385235,0.0,train
0.8661370118800072,0.7814031746031745,3500,rl_selected,0.7362857142857143,0.8597142857142858,0.836,hybrid,1.578652270112339,0.608,train
0.8722684816685928,0.7880080498866213,3500,score_gated_rl,0.742,0.8662857142857143,0.846,hybrid,1.6900411229204644,0.04342857142857143,train
