eval_split,retriever,comparison_method,policy_name,recall@1,recall@5,recall@10,mrr,answer_f1,avg_reward,avg_policy_reward,avg_rank_improvement,recall10_improvement,mrr_improvement,answer_f1_improvement,reward_improvement,num_records
test,dense,reward_selected_rewrite,reward_selected,0.09333333333333334,0.21,0.30333333333333334,0.1472791005291005,0.5359993305649815,0.631114933021288,0.11054806311500158,0.46,0.06,0.04328174603174603,0.08046294524976338,0.11054806311500158,300
test,dense,state_recovery_contextual_bandit,state_recovery_bandit_policy,0.06333333333333334,0.18333333333333332,0.23333333333333334,0.11115608465608465,0.44722234542236206,0.4666324622059999,-0.05393440770028637,0.05,-0.01,0.007158730158730159,-0.008314039892856031,-0.05393440770028637,300
test,hybrid,llm_rewrite,always_llm,0.03666666666666667,0.11666666666666667,0.18666666666666668,0.07613095238095238,0.4593899424894432,0.37458393647339266,-0.006576849452190214,0.5466666666666666,0.04,0.040535714285714286,0.020930275400182122,-0.006576849452190214,300
test,hybrid,rl_selected_rewrite,calibrated_recovery_policy,0.023333333333333334,0.12,0.21,0.06715873015873017,0.46024216446526417,0.4049987698500256,0.023837983924442654,0.5466666666666666,0.06333333333333334,0.031563492063492064,0.02178249737600308,0.023837983924442654,300
test,hybrid,conservative_contextual_bandit,conservative_linucb_policy,0.02,0.09333333333333334,0.20333333333333334,0.0589484126984127,0.4334103075364802,0.3871744077713177,0.006013621845734724,0.38,0.056666666666666664,0.023353174603174605,-0.005049359552780849,0.006013621845734724,300
test,hybrid,rule_based_rewrite,failure_type_policy,0.006666666666666667,0.09333333333333334,0.14666666666666667,0.04459920634920635,0.3582066642407626,0.29753437950436984,-0.08362640642121305,0.20666666666666667,0.0,0.009003968253968254,-0.08025300284849844,-0.08362640642121305,300
test,hybrid,label_retriever_policy,label_retriever_policy,0.02,0.08333333333333333,0.17333333333333334,0.05173015873015873,0.43207289858782116,0.36675775919316167,-0.014403026732421246,0.25666666666666665,0.02666666666666667,0.016134920634920634,-0.00638676850143987,-0.014403026732421246,300
test,hybrid,observable_only_selector,observable_only_selector,0.03666666666666667,0.11666666666666667,0.18,0.0741031746031746,0.4397593546491233,0.3627127088355343,-0.018448077090048576,0.51,0.03333333333333333,0.038507936507936505,0.0012996875598622513,-0.018448077090048576,300
test,hybrid,q_table_rewrite,offline_q_learning,0.023333333333333334,0.11333333333333333,0.19666666666666666,0.06661640211640212,0.4481700828511782,0.37554111732137085,-0.005619668604212044,0.5233333333333333,0.05,0.031021164021164022,0.009710415761917128,-0.005619668604212044,300
test,hybrid,oracle_best_rewrite,oracle_best_strategy,0.06333333333333334,0.19666666666666666,0.31333333333333335,0.12621428571428572,0.5646581117070077,0.6338251899481674,0.2526644040225845,1.31,0.16666666666666666,0.09061904761904763,0.12619844461774676,0.2526644040225845,300
test,hybrid,original_query,original_only,0.01,0.06333333333333334,0.14666666666666667,0.035595238095238096,0.43845966708926104,0.3811607859255829,0.0,0.0,0.0,0.0,0.0,0.0,300
test,hybrid,recovery_ranker_policy,recovery_ranker_policy,0.02666666666666667,0.11333333333333333,0.21,0.06819047619047619,0.46023891404163353,0.39893100707207274,0.0177702211464898,0.5333333333333333,0.06333333333333334,0.032595238095238094,0.0217792469523725,0.0177702211464898,300
test,hybrid,refined_label_rule_model_policy,refined_label_rule_model_policy,0.02666666666666667,0.1,0.24,0.06942592592592593,0.4572794001666908,0.45037201455536574,0.06921122862978281,0.5233333333333333,0.09333333333333334,0.03383068783068783,0.01881973307742968,0.06921122862978281,300
test,hybrid,retriever_tuned_contextual_bandit,retriever_tuned_bandit_policy,0.03,0.11,0.21,0.06773148148148148,0.44818543974848185,0.39854601799224487,0.017385232066661982,0.5,0.06333333333333334,0.032136243386243386,0.009725772659220736,0.017385232066661982,300
test,hybrid,reward_ranker_policy,reward_ranker_policy,0.02,0.1,0.18333333333333332,0.05589947089947089,0.4565903024440407,0.39426343528001034,0.013102649354427393,0.3466666666666667,0.03666666666666667,0.020304232804232804,0.018130635354779667,0.013102649354427393,300
test,hybrid,reward_selected_rewrite,reward_selected,0.06333333333333334,0.19666666666666666,0.31333333333333335,0.12621428571428572,0.5646581117070077,0.6338251899481674,0.2526644040225845,1.31,0.16666666666666666,0.09061904761904763,0.12619844461774676,0.2526644040225845,300
test,hybrid,state_recovery_contextual_bandit,state_recovery_bandit_policy,0.03,0.10666666666666667,0.20666666666666667,0.0671441798941799,0.45142988419292623,0.3957634783097052,0.0146026923841223,0.48333333333333334,0.06,0.0315489417989418,0.01297021710366518,0.0146026923841223,300
