failure_type,retriever,strategy,recall@10,mrr,answer_f1,reward,num_records
expression_mismatch,hybrid,structured,0.06315789473684211,0.03233918128654971,0.2989028686093104,0.12120100784410978,190
temporal_numeric,bm25,expanded,0.032432432432432434,0.016666666666666666,0.23218356004155616,-0.06723254430354625,185
temporal_numeric,bm25,keyword,0.08108108108108109,0.03617117117117117,0.3620165110420784,0.22057311152707168,185
temporal_numeric,bm25,llm,0.1945945945945946,0.07864435864435865,0.503116607704527,0.4068611905963268,185
temporal_numeric,bm25,original,0.15675675675675677,0.06592020592020592,0.46657694368126884,0.41684316939533195,185
temporal_numeric,bm25,structured,0.14594594594594595,0.06490990990990991,0.42538388393768706,0.3063119782653504,185
temporal_numeric,dense,expanded,0.04864864864864865,0.030501930501930504,0.07763941316253008,-0.12137076960921114,185
temporal_numeric,dense,keyword,0.032432432432432434,0.017117117117117116,0.07930526396650642,0.02104181231361,185
temporal_numeric,dense,llm,0.04864864864864865,0.028243243243243243,0.08906698967021381,0.02868987793266647,185
temporal_numeric,dense,original,0.05405405405405406,0.03563706563706563,0.08982764869955093,0.11062424906020017,185
temporal_numeric,dense,structured,0.03783783783783784,0.021126126126126125,0.07780852529326529,0.002524298943139519,185
temporal_numeric,hybrid,expanded,0.04864864864864865,0.016531531531531533,0.24686654587597398,-0.04374240273768869,185
temporal_numeric,hybrid,keyword,0.05945945945945946,0.030366795366795367,0.3338241188749449,0.18195310591969538,185
temporal_numeric,hybrid,llm,0.08648648648648649,0.035373230373230376,0.45296295094412786,0.2520406899724549,185
temporal_numeric,hybrid,original,0.016216216216216217,0.002453882453882454,0.3920219143971136,0.2072919524795521,185
temporal_numeric,hybrid,structured,0.07027027027027027,0.02086872586872587,0.30637411676014026,0.1491108269803093,185
unlabeled,bm25,expanded,0.12389380530973451,0.04756520110502411,0.3245111396969478,0.2359496748257647,339
unlabeled,bm25,keyword,0.1710914454277286,0.08461745563515476,0.4004293415352738,0.38355163288778493,339
unlabeled,bm25,llm,0.25958702064896755,0.11029287821323219,0.47202307659599935,0.47488041033058853,339
unlabeled,bm25,original,0.1976401179941003,0.08167579716252282,0.42230706713731186,0.4496315501440176,339
unlabeled,bm25,structured,0.1592920353982301,0.08039050428430959,0.3737003335069031,0.310436344587417,339
unlabeled,dense,expanded,0.0855457227138643,0.04209977993163834,0.1072136961912436,0.08622015989034952,339
unlabeled,dense,keyword,0.06784660766961652,0.03388584539027017,0.08103647473075458,0.09524455660497087,339
unlabeled,dense,llm,0.06784660766961652,0.0343002294329728,0.08654646885257283,0.05240536908939452,339
unlabeled,dense,original,0.08259587020648967,0.03593786580512245,0.09735055515823707,0.14924008068816944,339
unlabeled,dense,structured,0.04424778761061947,0.024090462143559487,0.06586553566250715,0.013324676807233347,339
unlabeled,hybrid,expanded,0.0943952802359882,0.023118883738352764,0.2895549736304626,0.17674990803544016,339
unlabeled,hybrid,keyword,0.09734513274336283,0.031168937584866788,0.33817294026332967,0.25195286054230304,339
unlabeled,hybrid,llm,0.11209439528023599,0.037700753851196325,0.3728869830766596,0.24152367602116914,339
unlabeled,hybrid,original,0.038348082595870206,0.006968441260476659,0.33358216404705243,0.20862338524963478,339
unlabeled,hybrid,structured,0.10029498525073746,0.04074308189352437,0.2911727510937354,0.19035179203794791,339
