failure_label,retriever,strategy,recall@10,mrr,answer_f1,reward,num_records
ambiguous,hybrid,keyword,0.0,0.0,0.5281385281385281,0.23073593073593074,7
ambiguous,hybrid,llm,0.0,0.0,0.8138528138528139,0.32134817563388995,7
ambiguous,hybrid,original,0.0,0.0,0.8138528138528139,0.40692640692640697,7
ambiguous,hybrid,structured,0.0,0.0,0.19480519480519481,0.046110080395794686,7
context_boundary_issue,bm25,expanded,0.07692307692307693,0.01648351648351648,0.15169195776095448,0.07639542942992779,39
context_boundary_issue,bm25,keyword,0.05128205128205128,0.014957264957264956,0.28144936709306945,0.14414959197144311,39
context_boundary_issue,bm25,llm,0.15384615384615385,0.03482905982905983,0.3163041079663663,0.2467265350576642,39
context_boundary_issue,bm25,original,0.07692307692307693,0.013532763532763533,0.34313668151823445,0.2552577994485759,39
context_boundary_issue,bm25,structured,0.05128205128205128,0.009615384615384616,0.20349019911592814,0.02684583215869667,39
context_boundary_issue,dense,expanded,0.41025641025641024,0.1675213675213675,0.4670546548252338,0.6429290368143262,39
context_boundary_issue,dense,keyword,0.23076923076923078,0.12393162393162392,0.3766381697197189,0.4257183522591269,39
context_boundary_issue,dense,llm,0.4358974358974359,0.15262515262515264,0.5302267709435912,0.6946371949956051,39
context_boundary_issue,dense,original,0.3333333333333333,0.1569088319088319,0.4925211323414109,0.6580483154584548,39
context_boundary_issue,dense,structured,0.2564102564102564,0.15705128205128205,0.35113635900231455,0.3795150659480437,39
context_boundary_issue,hybrid,expanded,0.358974358974359,0.11429588929588928,0.4151677383229326,0.5390907881683853,39
context_boundary_issue,hybrid,keyword,0.23076923076923078,0.0758852258852259,0.3768766305535329,0.4018143836528348,39
context_boundary_issue,hybrid,llm,0.358974358974359,0.1331908831908832,0.46074699546616227,0.573257095616679,39
context_boundary_issue,hybrid,original,0.15384615384615385,0.033547008547008546,0.46712679784038214,0.4041830570398492,39
context_boundary_issue,hybrid,structured,0.2564102564102564,0.06615791615791616,0.34126168886957986,0.3291310479349934,39
entity_mismatch,bm25,expanded,0.20408163265306123,0.09116861030126337,0.4035016700438635,0.37386575241746145,98
entity_mismatch,bm25,keyword,0.2755102040816326,0.12759151279559441,0.48478900077941106,0.5675702373511567,98
entity_mismatch,bm25,llm,0.32653061224489793,0.13748380304502753,0.535631632858883,0.6022039764553567,98
entity_mismatch,bm25,original,0.32653061224489793,0.13704243602202787,0.5049113344783426,0.6475074974950832,98
entity_mismatch,bm25,structured,0.19387755102040816,0.10988824101068999,0.382758279878415,0.3601133479081094,98
entity_mismatch,dense,expanded,0.1326530612244898,0.05665694849368318,0.3453659246843187,0.25611347740532747,98
entity_mismatch,dense,keyword,0.11224489795918367,0.0494047619047619,0.3244134130343651,0.28502376191076856,98
entity_mismatch,dense,llm,0.1326530612244898,0.056405895691609975,0.33585307409435966,0.267898192375978,98
entity_mismatch,dense,original,0.11224489795918367,0.04559037900874635,0.3425299361495545,0.30630505553833415,98
entity_mismatch,dense,structured,0.04081632653061224,0.010714285714285714,0.2063705132904034,0.06927126247610549,98
entity_mismatch,hybrid,expanded,0.10204081632653061,0.020306932296728215,0.3557192786554323,0.2125029013944476,98
entity_mismatch,hybrid,keyword,0.09183673469387756,0.02791950113378685,0.3551524235511172,0.26924247351835096,98
entity_mismatch,hybrid,llm,0.10204081632653061,0.048922902494331066,0.3557797124220575,0.2435077700432283,98
entity_mismatch,hybrid,original,0.07142857142857142,0.009722222222222222,0.34293314092771515,0.2477562530035401,98
entity_mismatch,hybrid,structured,0.05102040816326531,0.020505344995140912,0.2168585432521703,0.08961488873006959,98
lexical_mismatch,bm25,expanded,0.07419354838709677,0.04079237071172555,0.34399306882327785,0.12681713469476288,310
lexical_mismatch,bm25,keyword,0.1064516129032258,0.048193804403481824,0.413587738219921,0.2896067708874333,310
lexical_mismatch,bm25,llm,0.18064516129032257,0.07749359959037377,0.4778130522492604,0.3697264213968624,310
lexical_mismatch,bm25,original,0.12580645161290321,0.056171274961597545,0.45675461907277787,0.3726564954042845,310
lexical_mismatch,bm25,structured,0.1064516129032258,0.052835381464413717,0.3879688268029818,0.22563161435349563,310
lexical_mismatch,dense,expanded,0.24193548387096775,0.09544290834613416,0.4615177399427319,0.3806466745555652,310
lexical_mismatch,dense,keyword,0.18064516129032257,0.08464285714285714,0.38790189957439636,0.36918192632145547,310
lexical_mismatch,dense,llm,0.22903225806451613,0.07334613415258577,0.49171907429792394,0.42299279647649374,310
lexical_mismatch,dense,original,0.25483870967741934,0.08307987711213517,0.4761634950450765,0.5248474925302188,310
lexical_mismatch,dense,structured,0.15806451612903225,0.06811699948796723,0.3188479947139436,0.2503249105465597,310
lexical_mismatch,hybrid,expanded,0.17096774193548386,0.042734254992319504,0.44425596789838634,0.2746937199210013,310
lexical_mismatch,hybrid,keyword,0.15483870967741936,0.043607270865335376,0.41361614018522264,0.33571480187520447,310
lexical_mismatch,hybrid,llm,0.16774193548387098,0.05933435739887352,0.48388001891743876,0.35077705782874985,310
lexical_mismatch,hybrid,original,0.11612903225806452,0.020861495135688683,0.4475824313151665,0.34073809225768564,310
lexical_mismatch,hybrid,structured,0.15161290322580645,0.05250512032770097,0.343666802975137,0.2484767621937975,310
missing_key_term,bm25,expanded,0.02909090909090909,0.008797979797979798,0.25311957835973303,0.12648605180612912,275
missing_key_term,bm25,keyword,0.07636363636363637,0.020226551226551228,0.30176644651620954,0.21489433436921587,275
missing_key_term,bm25,llm,0.13818181818181818,0.05442279942279943,0.40022739622403564,0.2905077818061015,275
missing_key_term,bm25,original,0.09818181818181818,0.024707070707070705,0.36106936007796636,0.29012457902888217,275
missing_key_term,bm25,structured,0.04,0.012090909090909091,0.2750239043106526,0.14681108635446047,275
missing_key_term,dense,expanded,0.1781818181818182,0.08341125541125541,0.4354394963517679,0.40404355769969347,275
missing_key_term,dense,keyword,0.11272727272727273,0.05095815295815295,0.3323941871497124,0.28193764191540455,275
missing_key_term,dense,llm,0.15272727272727274,0.06343290043290044,0.37506829231978017,0.2969787349044788,275
missing_key_term,dense,original,0.18181818181818182,0.07342135642135643,0.4413086074429511,0.43823770920488103,275
missing_key_term,dense,structured,0.09454545454545454,0.04849350649350649,0.25621990009210877,0.2101558374919418,275
missing_key_term,hybrid,expanded,0.14909090909090908,0.037447330447330444,0.42117861451764277,0.3448402452097593,275
missing_key_term,hybrid,keyword,0.12,0.03831168831168832,0.38799875710798587,0.3106894218440362,275
missing_key_term,hybrid,llm,0.12727272727272726,0.04716594516594516,0.4042110162741515,0.2779620737936414,275
missing_key_term,hybrid,original,0.10181818181818182,0.01917027417027417,0.410118070020617,0.31551689936817284,275
missing_key_term,hybrid,structured,0.08727272727272728,0.030590187590187595,0.27089902511861375,0.2012710132808076,275
numeric_temporal_mismatch,bm25,expanded,0.03669724770642202,0.017010703363914373,0.22001200282727476,-0.06468436555883968,218
numeric_temporal_mismatch,bm25,keyword,0.08256880733944955,0.04216360856269113,0.3347387823063509,0.2157834290700466,218
numeric_temporal_mismatch,bm25,llm,0.19724770642201836,0.08467853502257172,0.482050161099257,0.40117672209630517,218
numeric_temporal_mismatch,bm25,original,0.1559633027522936,0.06878549584971604,0.4326455714726364,0.40144947861530467,218
numeric_temporal_mismatch,bm25,structured,0.14678899082568808,0.06639908256880733,0.4023524094089963,0.30097389824139836,218
numeric_temporal_mismatch,dense,expanded,0.20642201834862386,0.10311999417504004,0.3967472902865294,0.23646269421855232,218
numeric_temporal_mismatch,dense,keyword,0.23853211009174313,0.09835444881316441,0.33830948435267777,0.40162750297074024,218
numeric_temporal_mismatch,dense,llm,0.24311926605504589,0.09848369011213048,0.44476290840319344,0.43530723292608026,218
numeric_temporal_mismatch,dense,original,0.24770642201834864,0.11517038007863696,0.46193005165617057,0.5310272800875873,218
numeric_temporal_mismatch,dense,structured,0.1834862385321101,0.08735801660113586,0.3309932987481543,0.3124710576335637,218
numeric_temporal_mismatch,hybrid,expanded,0.19724770642201836,0.060291976117664195,0.40553057052400554,0.210266013381997,218
numeric_temporal_mismatch,hybrid,keyword,0.20642201834862386,0.05187308868501529,0.3888386122118262,0.3715412950931206,218
numeric_temporal_mismatch,hybrid,llm,0.22477064220183487,0.08133464394932285,0.48658608814230886,0.42929567586102313,218
numeric_temporal_mismatch,hybrid,original,0.13761467889908258,0.03847386049220912,0.449217040949863,0.37623077182195347,218
numeric_temporal_mismatch,hybrid,structured,0.21100917431192662,0.0569280617445755,0.37761750183276144,0.3480911175274035,218
semantic_mismatch,bm25,expanded,0.0,0.0,0.0,-0.14,1
