reward_variant,retriever,selected_strategy,reward,recall@1,recall@5,recall@10,mrr,answer_f1,num_records,alpha,beta,answer_gamma,lambda,drift_gamma
success_plus_rank,hybrid,expanded,1.1569089078417436,0.13432835820895522,0.5074626865671642,1.0,0.3138178156834873,0.8552990844369802,67,1.0,0.5,0.0,0.0,0.0
success_plus_rank,hybrid,keyword,1.1923225308641976,0.1527777777777778,0.7083333333333334,1.0,0.384645061728395,0.8133528973418696,72,1.0,0.5,0.0,0.0,0.0
success_plus_rank,hybrid,llm,1.2285799624509302,0.23655913978494625,0.7204301075268817,1.0,0.45715992490186036,0.8227644042410447,93,1.0,0.5,0.0,0.0,0.0
success_plus_rank,hybrid,original,0.062322208846085254,0.009831460674157303,0.033707865168539325,0.05196629213483146,0.02071183342250758,0.3961513427283662,712,1.0,0.5,0.0,0.0,0.0
success_plus_rank,hybrid,structured,1.20296910430839,0.16071428571428573,0.7142857142857143,1.0,0.40593820861678004,0.6676543796356373,56,1.0,0.5,0.0,0.0,0.0
answer_aware,bm25,expanded,0.5554251282238013,0.0,0.20689655172413793,0.27586206896551724,0.08199233716475096,0.47713378135181694,29,1.0,0.5,0.5,0.0,0.0
answer_aware,bm25,keyword,0.9208385194223191,0.17391304347826086,0.391304347826087,0.45652173913043476,0.2538302277432712,0.6748033328404974,46,1.0,0.5,0.5,0.0,0.0
answer_aware,bm25,llm,1.3237480530558252,0.1328125,0.4921875,0.765625,0.30207403273809524,0.814172073373555,128,1.0,0.5,0.5,0.0,0.0
answer_aware,bm25,original,0.41260061007018356,0.0440771349862259,0.1046831955922865,0.13774104683195593,0.06886560409287683,0.4808535223835784,726,1.0,0.5,0.5,0.0,0.0
answer_aware,bm25,structured,1.0470414251892466,0.1267605633802817,0.43661971830985913,0.5633802816901409,0.25146434160518666,0.7158579453930248,71,1.0,0.5,0.5,0.0,0.0
answer_aware,dense,expanded,1.276717911259074,0.15789473684210525,0.49122807017543857,0.7368421052631579,0.31116680590364804,0.7685848060881842,57,1.0,0.5,0.5,0.0,0.0
answer_aware,dense,keyword,1.045765215110277,0.14953271028037382,0.4392523364485981,0.5887850467289719,0.2877948375611927,0.6261654992014174,107,1.0,0.5,0.5,0.0,0.0
answer_aware,dense,llm,1.0079813623706668,0.07291666666666667,0.3333333333333333,0.625,0.194973544973545,0.5709891797677887,96,1.0,0.5,0.5,0.0,0.0
answer_aware,dense,original,0.46859261570394645,0.07591240875912408,0.13576642335766423,0.16934306569343066,0.10247537944618236,0.4960237205748493,685,1.0,0.5,0.5,0.0,0.0
answer_aware,dense,structured,1.1554948670420202,0.21818181818181817,0.4909090909090909,0.6909090909090909,0.34928571428571425,0.579885837980144,55,1.0,0.5,0.5,0.0,0.0
answer_aware,hybrid,expanded,1.2971137977110414,0.10344827586206896,0.39080459770114945,0.7816091954022989,0.24359149790184273,0.7874177067156425,87,1.0,0.5,0.5,0.0,0.0
answer_aware,hybrid,keyword,1.173540800162048,0.10476190476190476,0.47619047619047616,0.6666666666666666,0.2600151171579743,0.7537331498327882,105,1.0,0.5,0.5,0.0,0.0
answer_aware,hybrid,llm,1.226033992089121,0.16793893129770993,0.5190839694656488,0.7175572519083969,0.3283654428692596,0.6885880374921882,131,1.0,0.5,0.5,0.0,0.0
answer_aware,hybrid,original,0.308099670867998,0.011666666666666667,0.04,0.06166666666666667,0.024578042328042327,0.4682879660746203,600,1.0,0.5,0.5,0.0,0.0
answer_aware,hybrid,structured,1.1811333844863348,0.11688311688311688,0.5064935064935064,0.7272727272727273,0.29035765821480103,0.6173636562124137,77,1.0,0.5,0.5,0.0,0.0
full_reward,bm25,expanded,0.8732004830917874,0.0,0.3,0.4,0.11944444444444444,0.9469565217391305,10,1.0,0.5,0.5,0.02,0.2
full_reward,bm25,keyword,0.8686253541762247,0.19047619047619047,0.40476190476190477,0.4523809523809524,0.2682539682539683,0.6688103734813315,42,1.0,0.5,0.5,0.02,0.2
full_reward,bm25,llm,1.3040150133110755,0.14285714285714285,0.5042016806722689,0.7983193277310925,0.3209183673469388,0.8808514189937162,119,1.0,0.5,0.5,0.02,0.2
full_reward,bm25,original,0.412116893168657,0.04113110539845758,0.10282776349614396,0.14910025706940874,0.06745929734361611,0.4639210185566799,778,1.0,0.5,0.5,0.02,0.2
full_reward,bm25,structured,1.1719261866360853,0.17647058823529413,0.5098039215686274,0.6470588235294118,0.31440242763772175,0.8689273444371073,51,1.0,0.5,0.5,0.02,0.2
full_reward,dense,expanded,1.4243388532472485,0.25,0.5625,0.8125,0.4061011904761905,0.9575765160183066,32,1.0,0.5,0.5,0.02,0.2
full_reward,dense,keyword,1.10131019011244,0.17894736842105263,0.47368421052631576,0.6421052631578947,0.32191311612364243,0.6786198097599131,95,1.0,0.5,0.5,0.02,0.2
full_reward,dense,llm,0.9580721166829503,0.08860759493670886,0.26582278481012656,0.620253164556962,0.20003013863773358,0.6348495806545452,79,1.0,0.5,0.5,0.02,0.2
full_reward,dense,original,0.4887315820191492,0.0692410119840213,0.1411451398135819,0.19973368841544606,0.10126867879863885,0.48189355314911353,751,1.0,0.5,0.5,0.02,0.2
full_reward,dense,structured,1.2451676880500064,0.27906976744186046,0.5581395348837209,0.7674418604651163,0.417469545957918,0.686400822281738,43,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,expanded,1.3469971172576856,0.16363636363636364,0.4909090909090909,0.8181818181818182,0.3062193362193362,0.9150476255687621,55,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,keyword,1.1676069833150542,0.09259259259259259,0.4722222222222222,0.6944444444444444,0.2502829218106996,0.7840567732425228,108,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,llm,1.2904826637961577,0.20535714285714285,0.6071428571428571,0.7857142857142857,0.38369827097505665,0.7943726359824853,112,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,original,0.3395380201952325,0.010558069381598794,0.042232277526395176,0.10105580693815988,0.028244032655797363,0.45348660803632673,663,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,structured,1.2083977801433625,0.14516129032258066,0.532258064516129,0.8064516129032258,0.32187019969278036,0.6610870146683123,62,1.0,0.5,0.5,0.02,0.2
rank_heavy,bm25,expanded,0.8143800322061191,0.0,0.4166666666666667,0.5,0.14814814814814814,0.9557971014492753,12,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,keyword,0.7765618621127326,0.19047619047619047,0.40476190476190477,0.4523809523809524,0.2682539682539683,0.6688103734813315,42,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,llm,1.0654106208474614,0.13821138211382114,0.5121951219512195,0.8048780487804879,0.31861207897793264,0.8782221045548962,123,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,original,0.3617110491436953,0.041666666666666664,0.10026041666666667,0.13802083333333334,0.06633959573412698,0.45798249015247,768,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,structured,1.0175156485648273,0.16363636363636364,0.5454545454545454,0.6727272727272727,0.31123376623376625,0.8784599012053177,55,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,expanded,1.2086992963829764,0.23529411764705882,0.5588235294117647,0.8235294117647058,0.3944677871148459,0.9449336067715551,34,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,keyword,0.9430850808688147,0.17346938775510204,0.5,0.6530612244897959,0.32623096857790734,0.6658395646303215,98,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,llm,0.7597966811706625,0.09090909090909091,0.2987012987012987,0.6103896103896104,0.2115388579674294,0.6487541170615664,77,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,original,0.4329522969717885,0.06998654104979811,0.13728129205921938,0.1911170928667564,0.10018746394924054,0.4796884816574781,743,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,structured,1.0574588950236108,0.25,0.6041666666666666,0.7916666666666666,0.4146081349206349,0.6505308806603122,48,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,expanded,1.0928999588708088,0.15789473684210525,0.5087719298245614,0.8245614035087719,0.3121414647730437,0.908183654862197,57,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,keyword,0.9390270191980867,0.09433962264150944,0.4528301886792453,0.6886792452830188,0.24927747828691224,0.7795067871519189,106,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,llm,1.0902759744290538,0.2,0.6173913043478261,0.7913043478260869,0.3816597653554175,0.7959207505145656,115,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,original,0.2953096752753404,0.010670731707317074,0.041158536585365856,0.09146341463414634,0.026949041811846687,0.4500749254635729,656,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,structured,0.9800300662015812,0.13636363636363635,0.5606060606060606,0.8181818181818182,0.3238275613275613,0.6734890455379581,66,0.5,1.0,0.5,0.02,0.2
