count,eval_split,num_records,policy_name,rate,retriever,selected_strategy
244,test,300,thompson_sampling,0.8133333333333334,hybrid,keyword
56,test,300,thompson_sampling,0.18666666666666668,hybrid,llm
300,test,300,ucb_bandit,1.0,hybrid,llm
700,train,700,always_expanded,1.0,bm25,expanded
700,train,700,always_keyword,1.0,bm25,keyword
700,train,700,always_llm,1.0,bm25,llm
700,train,700,always_structured,1.0,bm25,structured
1,train,700,calibrated_recovery_policy,0.0014285714285714286,bm25,expanded
1,train,700,calibrated_recovery_policy,0.0014285714285714286,bm25,keyword
364,train,700,calibrated_recovery_policy,0.52,bm25,llm
330,train,700,calibrated_recovery_policy,0.4714285714285714,bm25,original
4,train,700,calibrated_recovery_policy,0.005714285714285714,bm25,structured
19,train,700,conservative_linucb_policy,0.027142857142857142,bm25,expanded
16,train,700,conservative_linucb_policy,0.022857142857142857,bm25,keyword
363,train,700,conservative_linucb_policy,0.5185714285714286,bm25,llm
248,train,700,conservative_linucb_policy,0.35428571428571426,bm25,original
54,train,700,conservative_linucb_policy,0.07714285714285714,bm25,structured
42,train,700,contextual_bandit,0.06,bm25,keyword
652,train,700,contextual_bandit,0.9314285714285714,bm25,llm
6,train,700,contextual_bandit,0.008571428571428572,bm25,original
19,train,700,epsilon_greedy_bandit,0.027142857142857142,bm25,expanded
8,train,700,epsilon_greedy_bandit,0.011428571428571429,bm25,keyword
635,train,700,epsilon_greedy_bandit,0.9071428571428571,bm25,llm
21,train,700,epsilon_greedy_bandit,0.03,bm25,original
17,train,700,epsilon_greedy_bandit,0.024285714285714285,bm25,structured
370,train,700,failure_type_policy,0.5285714285714286,bm25,keyword
41,train,700,failure_type_policy,0.05857142857142857,bm25,original
289,train,700,failure_type_policy,0.41285714285714287,bm25,structured
594,train,700,label_retriever_policy,0.8485714285714285,bm25,llm
106,train,700,label_retriever_policy,0.15142857142857144,bm25,original
8,train,700,oracle_best_strategy,0.011428571428571429,bm25,expanded
29,train,700,oracle_best_strategy,0.041428571428571426,bm25,keyword
90,train,700,oracle_best_strategy,0.12857142857142856,bm25,llm
542,train,700,oracle_best_strategy,0.7742857142857142,bm25,original
31,train,700,oracle_best_strategy,0.04428571428571428,bm25,structured
700,train,700,original_only,1.0,bm25,original
142,train,700,random_policy,0.20285714285714285,bm25,expanded
144,train,700,random_policy,0.2057142857142857,bm25,keyword
138,train,700,random_policy,0.19714285714285715,bm25,llm
140,train,700,random_policy,0.2,bm25,original
136,train,700,random_policy,0.19428571428571428,bm25,structured
1,train,700,recovery_ranker_policy,0.0014285714285714286,bm25,expanded
1,train,700,recovery_ranker_policy,0.0014285714285714286,bm25,keyword
613,train,700,recovery_ranker_policy,0.8757142857142857,bm25,llm
73,train,700,recovery_ranker_policy,0.10428571428571429,bm25,original
12,train,700,recovery_ranker_policy,0.017142857142857144,bm25,structured
600,train,700,refined_label_rule_model_policy,0.8571428571428571,bm25,llm
100,train,700,refined_label_rule_model_policy,0.14285714285714285,bm25,original
18,train,700,retriever_tuned_bandit_policy,0.025714285714285714,bm25,keyword
640,train,700,retriever_tuned_bandit_policy,0.9142857142857143,bm25,llm
14,train,700,retriever_tuned_bandit_policy,0.02,bm25,original
28,train,700,retriever_tuned_bandit_policy,0.04,bm25,structured
1,train,700,reward_ranker_policy,0.0014285714285714286,bm25,expanded
3,train,700,reward_ranker_policy,0.004285714285714286,bm25,keyword
347,train,700,reward_ranker_policy,0.4957142857142857,bm25,llm
341,train,700,reward_ranker_policy,0.48714285714285716,bm25,original
8,train,700,reward_ranker_policy,0.011428571428571429,bm25,structured
8,train,700,reward_selected,0.011428571428571429,bm25,expanded
29,train,700,reward_selected,0.041428571428571426,bm25,keyword
90,train,700,reward_selected,0.12857142857142856,bm25,llm
542,train,700,reward_selected,0.7742857142857142,bm25,original
31,train,700,reward_selected,0.04428571428571428,bm25,structured
19,train,700,state_recovery_bandit_policy,0.027142857142857142,bm25,keyword
659,train,700,state_recovery_bandit_policy,0.9414285714285714,bm25,llm
22,train,700,state_recovery_bandit_policy,0.03142857142857143,bm25,original
700,train,700,thompson_sampling,1.0,bm25,llm
700,train,700,ucb_bandit,1.0,bm25,llm
700,train,700,always_expanded,1.0,dense,expanded
700,train,700,always_keyword,1.0,dense,keyword
700,train,700,always_llm,1.0,dense,llm
700,train,700,always_structured,1.0,dense,structured
89,train,700,calibrated_recovery_policy,0.12714285714285714,dense,expanded
2,train,700,calibrated_recovery_policy,0.002857142857142857,dense,keyword
57,train,700,calibrated_recovery_policy,0.08142857142857143,dense,llm
552,train,700,calibrated_recovery_policy,0.7885714285714286,dense,original
74,train,700,conservative_linucb_policy,0.10571428571428572,dense,expanded
84,train,700,conservative_linucb_policy,0.12,dense,keyword
136,train,700,conservative_linucb_policy,0.19428571428571428,dense,llm
355,train,700,conservative_linucb_policy,0.5071428571428571,dense,original
51,train,700,conservative_linucb_policy,0.07285714285714286,dense,structured
281,train,700,contextual_bandit,0.4014285714285714,dense,expanded
71,train,700,contextual_bandit,0.10142857142857142,dense,keyword
284,train,700,contextual_bandit,0.4057142857142857,dense,llm
41,train,700,contextual_bandit,0.05857142857142857,dense,original
23,train,700,contextual_bandit,0.032857142857142856,dense,structured
9,train,700,epsilon_greedy_bandit,0.012857142857142857,dense,expanded
6,train,700,epsilon_greedy_bandit,0.008571428571428572,dense,keyword
16,train,700,epsilon_greedy_bandit,0.022857142857142857,dense,llm
654,train,700,epsilon_greedy_bandit,0.9342857142857143,dense,original
15,train,700,epsilon_greedy_bandit,0.02142857142857143,dense,structured
370,train,700,failure_type_policy,0.5285714285714286,dense,keyword
41,train,700,failure_type_policy,0.05857142857142857,dense,original
289,train,700,failure_type_policy,0.41285714285714287,dense,structured
4,train,700,label_retriever_policy,0.005714285714285714,dense,expanded
27,train,700,label_retriever_policy,0.03857142857142857,dense,llm
669,train,700,label_retriever_policy,0.9557142857142857,dense,original
20,train,700,oracle_best_strategy,0.02857142857142857,dense,expanded
74,train,700,oracle_best_strategy,0.10571428571428572,dense,keyword
57,train,700,oracle_best_strategy,0.08142857142857143,dense,llm
519,train,700,oracle_best_strategy,0.7414285714285714,dense,original
30,train,700,oracle_best_strategy,0.04285714285714286,dense,structured
700,train,700,original_only,1.0,dense,original
123,train,700,random_policy,0.1757142857142857,dense,expanded
155,train,700,random_policy,0.22142857142857142,dense,keyword
132,train,700,random_policy,0.18857142857142858,dense,llm
150,train,700,random_policy,0.21428571428571427,dense,original
140,train,700,random_policy,0.2,dense,structured
120,train,700,recovery_ranker_policy,0.17142857142857143,dense,expanded
25,train,700,recovery_ranker_policy,0.03571428571428571,dense,keyword
151,train,700,recovery_ranker_policy,0.21571428571428572,dense,llm
403,train,700,recovery_ranker_policy,0.5757142857142857,dense,original
1,train,700,recovery_ranker_policy,0.0014285714285714286,dense,structured
68,train,700,refined_label_rule_model_policy,0.09714285714285714,dense,expanded
202,train,700,refined_label_rule_model_policy,0.2885714285714286,dense,keyword
278,train,700,refined_label_rule_model_policy,0.39714285714285713,dense,llm
152,train,700,refined_label_rule_model_policy,0.21714285714285714,dense,original
4,train,700,retriever_tuned_bandit_policy,0.005714285714285714,dense,expanded
27,train,700,retriever_tuned_bandit_policy,0.03857142857142857,dense,llm
669,train,700,retriever_tuned_bandit_policy,0.9557142857142857,dense,original
65,train,700,reward_ranker_policy,0.09285714285714286,dense,expanded
1,train,700,reward_ranker_policy,0.0014285714285714286,dense,keyword
34,train,700,reward_ranker_policy,0.04857142857142857,dense,llm
600,train,700,reward_ranker_policy,0.8571428571428571,dense,original
20,train,700,reward_selected,0.02857142857142857,dense,expanded
74,train,700,reward_selected,0.10571428571428572,dense,keyword
57,train,700,reward_selected,0.08142857142857143,dense,llm
519,train,700,reward_selected,0.7414285714285714,dense,original
30,train,700,reward_selected,0.04285714285714286,dense,structured
198,train,700,state_recovery_bandit_policy,0.28285714285714286,dense,expanded
65,train,700,state_recovery_bandit_policy,0.09285714285714286,dense,keyword
123,train,700,state_recovery_bandit_policy,0.1757142857142857,dense,llm
305,train,700,state_recovery_bandit_policy,0.4357142857142857,dense,original
9,train,700,state_recovery_bandit_policy,0.012857142857142857,dense,structured
606,train,700,thompson_sampling,0.8657142857142858,dense,keyword
93,train,700,thompson_sampling,0.13285714285714287,dense,llm
1,train,700,thompson_sampling,0.0014285714285714286,dense,structured
700,train,700,ucb_bandit,1.0,dense,original
700,train,700,always_expanded,1.0,hybrid,expanded
700,train,700,always_keyword,1.0,hybrid,keyword
700,train,700,always_llm,1.0,hybrid,llm
700,train,700,always_structured,1.0,hybrid,structured
163,train,700,calibrated_recovery_policy,0.23285714285714285,hybrid,expanded
101,train,700,calibrated_recovery_policy,0.1442857142857143,hybrid,keyword
339,train,700,calibrated_recovery_policy,0.48428571428571426,hybrid,llm
73,train,700,calibrated_recovery_policy,0.10428571428571429,hybrid,original
24,train,700,calibrated_recovery_policy,0.03428571428571429,hybrid,structured
163,train,700,conservative_linucb_policy,0.23285714285714285,hybrid,expanded
132,train,700,conservative_linucb_policy,0.18857142857142858,hybrid,keyword
215,train,700,conservative_linucb_policy,0.30714285714285716,hybrid,llm
91,train,700,conservative_linucb_policy,0.13,hybrid,original
99,train,700,conservative_linucb_policy,0.14142857142857143,hybrid,structured
188,train,700,contextual_bandit,0.26857142857142857,hybrid,expanded
187,train,700,contextual_bandit,0.2671428571428571,hybrid,keyword
282,train,700,contextual_bandit,0.40285714285714286,hybrid,llm
34,train,700,contextual_bandit,0.04857142857142857,hybrid,original
9,train,700,contextual_bandit,0.012857142857142857,hybrid,structured
23,train,700,epsilon_greedy_bandit,0.032857142857142856,hybrid,expanded
20,train,700,epsilon_greedy_bandit,0.02857142857142857,hybrid,keyword
628,train,700,epsilon_greedy_bandit,0.8971428571428571,hybrid,llm
15,train,700,epsilon_greedy_bandit,0.02142857142857143,hybrid,original
14,train,700,epsilon_greedy_bandit,0.02,hybrid,structured
370,train,700,failure_type_policy,0.5285714285714286,hybrid,keyword
41,train,700,failure_type_policy,0.05857142857142857,hybrid,original
289,train,700,failure_type_policy,0.41285714285714287,hybrid,structured
219,train,700,label_retriever_policy,0.31285714285714283,hybrid,expanded
283,train,700,label_retriever_policy,0.4042857142857143,hybrid,keyword
168,train,700,label_retriever_policy,0.24,hybrid,llm
30,train,700,label_retriever_policy,0.04285714285714286,hybrid,original
35,train,700,oracle_best_strategy,0.05,hybrid,expanded
84,train,700,oracle_best_strategy,0.12,hybrid,keyword
80,train,700,oracle_best_strategy,0.11428571428571428,hybrid,llm
456,train,700,oracle_best_strategy,0.6514285714285715,hybrid,original
45,train,700,oracle_best_strategy,0.06428571428571428,hybrid,structured
700,train,700,original_only,1.0,hybrid,original
144,train,700,random_policy,0.2057142857142857,hybrid,expanded
126,train,700,random_policy,0.18,hybrid,keyword
128,train,700,random_policy,0.18285714285714286,hybrid,llm
155,train,700,random_policy,0.22142857142857142,hybrid,original
147,train,700,random_policy,0.21,hybrid,structured
191,train,700,recovery_ranker_policy,0.27285714285714285,hybrid,expanded
103,train,700,recovery_ranker_policy,0.14714285714285713,hybrid,keyword
353,train,700,recovery_ranker_policy,0.5042857142857143,hybrid,llm
28,train,700,recovery_ranker_policy,0.04,hybrid,original
25,train,700,recovery_ranker_policy,0.03571428571428571,hybrid,structured
182,train,700,refined_label_rule_model_policy,0.26,hybrid,expanded
230,train,700,refined_label_rule_model_policy,0.32857142857142857,hybrid,keyword
223,train,700,refined_label_rule_model_policy,0.31857142857142856,hybrid,llm
65,train,700,refined_label_rule_model_policy,0.09285714285714286,hybrid,original
296,train,700,retriever_tuned_bandit_policy,0.4228571428571429,hybrid,expanded
80,train,700,retriever_tuned_bandit_policy,0.11428571428571428,hybrid,keyword
304,train,700,retriever_tuned_bandit_policy,0.4342857142857143,hybrid,llm
