eval_split,harm_count,harm_rate,mean_recall10_delta,mean_reward_delta,num_records,policy_name,recovery_count,recovery_rate,retriever,rewrite_rate
test,5,0.016666666666666666,-0.01,-0.05393440770028637,300,state_recovery_bandit_policy,2,0.006666666666666667,dense,0.5233333333333333
test,24,0.08,-0.06,-0.155257849004641,300,thompson_sampling,6,0.02,dense,1.0
test,0,0.0,0.0,0.0,300,ucb_bandit,0,0.0,dense,0.0
test,10,0.03333333333333333,0.05333333333333334,-0.04512357277328882,300,always_expanded,26,0.08666666666666667,hybrid,1.0
test,12,0.04,0.01,-0.033520659514224546,300,always_keyword,15,0.05,hybrid,1.0
test,14,0.04666666666666667,0.04,-0.006576849452190214,300,always_llm,26,0.08666666666666667,hybrid,1.0
test,20,0.06666666666666667,0.0,-0.12158854755586787,300,always_structured,20,0.06666666666666667,hybrid,1.0
test,10,0.03333333333333333,0.06333333333333334,0.023837983924442654,300,calibrated_recovery_policy,29,0.09666666666666666,hybrid,0.9
test,11,0.03666666666666667,0.056666666666666664,0.006013621845734724,300,conservative_linucb_policy,28,0.09333333333333334,hybrid,0.83
test,12,0.04,0.04,0.0031193942945398306,300,contextual_bandit,24,0.08,hybrid,0.95
test,12,0.04,0.043333333333333335,-0.00811821429118737,300,epsilon_greedy_bandit,25,0.08333333333333333,hybrid,0.9733333333333334
test,15,0.05,0.0,-0.08362640642121305,300,failure_type_policy,15,0.05,hybrid,0.94
test,11,0.03666666666666667,0.02666666666666667,-0.014403026732421246,300,label_retriever_policy,19,0.06333333333333334,hybrid,0.9566666666666667
test,12,0.04,0.05,-0.005619668604212044,300,offline_q_learning,27,0.09,hybrid,1.0
test,0,0.0,0.16666666666666666,0.2526644040225845,300,oracle_best_strategy,50,0.16666666666666666,hybrid,0.31
test,0,0.0,0.0,0.0,300,original_only,0,0.0,hybrid,0.0
test,11,0.03666666666666667,0.013333333333333334,-0.04330292769687991,300,random_policy,15,0.05,hybrid,0.7966666666666666
test,10,0.03333333333333333,0.06333333333333334,0.0177702211464898,300,recovery_ranker_policy,29,0.09666666666666666,hybrid,0.9633333333333334
test,2,0.006666666666666667,0.09333333333333334,0.06921122862978281,300,refined_label_rule_model_policy,30,0.1,hybrid,0.8933333333333333
