answer_f1,mrr,num_records,policy_name,recall@1,recall@10,recall@5,retriever,reward,rewrite_rate,subset
0.04575746931071668,0.5082407407407408,1500,original_only,0.4533333333333333,0.6166666666666667,0.5826666666666667,dense,0.889572438359062,0.0,test
0.04201627623703446,0.47305079365079367,1500,rl_selected,0.42333333333333334,0.5806666666666667,0.5393333333333333,dense,0.6744268682772474,1.0,test
0.04575746931071668,0.5082407407407408,1500,score_gated_rl,0.4533333333333333,0.6166666666666667,0.5826666666666667,dense,0.889572438359062,0.0,test
0.833045678644886,0.6362314814814815,1500,always_llm,0.5406666666666666,0.8586666666666667,0.768,hybrid,1.429531913396517,1.0,test
0.8515546094243375,0.6445677248677248,1500,oracle_gated_rl,0.552,0.8846666666666667,0.762,hybrid,1.6056211671460312,0.13533333333333333,test
0.8413480164468654,0.6403703703703704,1500,original_only,0.5513333333333333,0.8646666666666667,0.756,hybrid,1.6014325267419511,0.0,test
0.8347609455701834,0.6402708994708994,1500,rl_selected,0.5406666666666666,0.86,0.7806666666666666,hybrid,1.4136937002983192,1.0,test
0.8413480164468654,0.6403703703703704,1500,score_gated_rl,0.5513333333333333,0.8646666666666667,0.756,hybrid,1.6014325267419511,0.0,test
0.8553964473538626,0.7493328798185941,3500,always_llm,0.692,0.8571428571428571,0.8237142857142857,bm25,1.4986218064433712,1.0,train
0.8608036022124379,0.7535128117913832,3500,oracle_gated_rl,0.6968571428571428,0.8637142857142858,0.8257142857142857,bm25,1.6455296355733393,0.14514285714285713,train
0.8557372088607583,0.7512753968253968,3500,original_only,0.696,0.8548571428571429,0.8225714285714286,bm25,1.6544891599859348,0.0,train
0.8553964473538626,0.7493328798185941,3500,rl_selected,0.692,0.8571428571428571,0.8237142857142857,bm25,1.4986218064433712,1.0,train
0.8565819879004176,0.7509670068027211,3500,score_gated_rl,0.6954285714285714,0.8554285714285714,0.8225714285714286,bm25,1.6551002116372835,0.0054285714285714284,train
0.049833764118406954,0.47802732426303857,3500,always_llm,0.426,0.5837142857142857,0.5468571428571428,dense,0.6867591156192941,1.0,train
0.0491788544025797,0.508518820861678,3500,oracle_gated_rl,0.4522857142857143,0.6277142857142857,0.5788571428571428,dense,0.8404288376321288,0.38371428571428573,train
0.04979557653981485,0.5054723356009071,3500,original_only,0.45171428571428573,0.6162857142857143,0.5734285714285714,dense,0.8900453846417895,0.0,train
0.049833764118406954,0.47802732426303857,3500,rl_selected,0.426,0.5837142857142857,0.5468571428571428,dense,0.6867276870478657,1.0,train
0.04979557653981485,0.5054723356009071,3500,score_gated_rl,0.45171428571428573,0.6162857142857143,0.5734285714285714,dense,0.8900453846417895,0.0,train
0.8250724604955533,0.635382993197279,3500,always_llm,0.5491428571428572,0.838,0.758,hybrid,1.407342012560702,1.0,train
0.8445266001827927,0.6474666666666666,3500,oracle_gated_rl,0.5637142857142857,0.8671428571428571,0.7585714285714286,hybrid,1.5818709191390152,0.15914285714285714,train
0.8304474898472389,0.6403233560090703,3500,original_only,0.5602857142857143,0.8408571428571429,0.7502857142857143,hybrid,1.572368280071012,0.0,train
0.8242316526667077,0.6331132653061224,3500,rl_selected,0.5422857142857143,0.8374285714285714,0.7628571428571429,hybrid,1.3853410304149865,1.0,train
0.8304474898472389,0.6403233560090703,3500,score_gated_rl,0.5602857142857143,0.8408571428571429,0.7502857142857143,hybrid,1.572368280071012,0.0,train
