reward_variant,retriever,selected_strategy,reward,recall@1,recall@5,recall@10,mrr,answer_f1,num_records,alpha,beta,answer_gamma,lambda,drift_gamma
full_reward,hybrid,keyword,1.6803571428571429,0.25,0.5,1.0,0.4107142857142857,1.0,4,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,llm,1.7482773109243699,0.47058823529411764,0.8823529411764706,1.0,0.6401960784313725,1.0,17,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,original,1.4992175903806337,0.47692307692307695,0.6923076923076923,0.7846153846153846,0.5682417582417582,0.8621934225195095,65,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,prompt,1.5032142857142858,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.30357142857142855,1.0,7,1.0,0.5,0.5,0.02,0.2
full_reward,hybrid,structured,1.7866666666666664,0.6666666666666666,1.0,1.0,0.7333333333333334,1.0,3,1.0,0.5,0.5,0.02,0.2
rank_heavy,bm25,expanded,1.4458333333333333,0.25,1.0,1.0,0.4458333333333333,1.0,4,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,keyword,1.5732142857142857,0.5,1.0,1.0,0.6,1.0,2,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,llm,1.3660430839002267,0.2857142857142857,0.7142857142857143,0.9523809523809523,0.4735260770975057,1.0,21,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,original,1.1963467112597548,0.47692307692307695,0.5692307692307692,0.6,0.5198717948717948,0.7541806020066889,65,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,prompt,1.459047619047619,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.5333333333333333,1.0,7,0.5,1.0,0.5,0.02,0.2
rank_heavy,bm25,structured,1.92,1.0,1.0,1.0,1.0,1.0,1,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,expanded,1.1533333333333333,0.0,1.0,1.0,0.3333333333333333,1.0,1,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,keyword,1.4208225108225108,0.2727272727272727,0.6363636363636364,1.0,0.44430014430014436,1.0,11,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,llm,1.2215375893947322,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.3670634920634921,1.0,7,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,original,0.7634605813299494,0.265625,0.34375,0.359375,0.29401041666666666,0.5795253293265655,64,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,prompt,1.20770202020202,0.16666666666666666,0.5,0.8333333333333334,0.3726851851851852,0.8367003367003366,6,0.5,1.0,0.5,0.02,0.2
rank_heavy,dense,structured,1.169148629148629,0.09090909090909091,0.36363636363636365,1.0,0.2564213564213564,1.0,11,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,expanded,1.375,0.25,0.75,1.0,0.375,1.0,4,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,keyword,1.3857142857142857,0.25,0.5,1.0,0.4107142857142857,1.0,4,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,llm,1.5683753501400561,0.47058823529411764,0.8823529411764706,1.0,0.6401960784313725,1.0,17,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,original,1.3910307771938206,0.47692307692307695,0.6923076923076923,0.7846153846153846,0.5682417582417582,0.8621934225195095,65,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,prompt,1.2264285714285716,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.30357142857142855,1.0,7,0.5,1.0,0.5,0.02,0.2
rank_heavy,hybrid,structured,1.6533333333333333,0.6666666666666666,1.0,1.0,0.7333333333333334,1.0,3,0.5,1.0,0.5,0.02,0.2
